"ID","NAME","CASnumber","COMPTYPE","COMPINDEX","FORMULA","MOLARMASS","LIQDENS","TC","PC","ACSFACT","NORMBOIL","MWAVG","CRITVOL","PVMODEL","Href","CPA","CPB","CPC","CPD","CPE","AntoineVapPresLiqType","ANTOINEA","ANTOINEB","ANTOINEC","ANTOINED","ANTOINEE","DIPOLEMOMENT","VISCFACT","RACKETZ","volcorrSRK_T","LJDIAMETER","LJEPS","SphericalCoreRadius","LIQVISCMODEL","LIQVISC1","LIQVISC2","LIQVISC3","LIQVISC4","GIBBSENERGYOFFORMATION","DIELECTRICPARAMETER1","DIELECTRICPARAMETER2","DIELECTRICPARAMETER3","DIELECTRICPARAMETER4","DIELECTRICPARAMETER5","IONICCHARGE","REFERENCESTATETYPE","HenryCoef1","HenryCoef2","HenryCoef3","HenryCoef4","SCHWARTZENTRUBER1","SCHWARTZENTRUBER2","SCHWARTZENTRUBER3","LIQUIDCONDUCTIVITY1","LIQUIDCONDUCTIVITY2","LIQUIDCONDUCTIVITY3","PARACHOR","HEATOFFUSION","TRIPLEPOINTDENSITY","TRIPLEPOINTPRESSURE","TRIPLEPOINTTEMPERATURE","MELTINGPOINTTEMPERATURE","ENTHALPYOFFORMATION","ABSOLUTEENTROPY","SOLIDDENSITYCOEFS1","SOLIDDENSITYCOEFS2","SOLIDDENSITYCOEFS3","SOLIDDENSITYCOEFS4","SOLIDDENSITYCOEFS5","LIQUIDDENSITYCOEFS1","LIQUIDDENSITYCOEFS2","LIQUIDDENSITYCOEFS3","LIQUIDDENSITYCOEFS4","LIQUIDDENSITYCOEFS5","HEATOFVAPORIZATIONCOEFS1","HEATOFVAPORIZATIONCOEFS2","HEATOFVAPORIZATIONCOEFS3","HEATOFVAPORIZATIONCOEFS4","HEATOFVAPORIZATIONCOEFS5","STDDENS","MC1","MC2","MC3","MC1Solid","MC2Solid","MC3Solid","TwuCoon1","TwuCoon2","TwuCoon3","associationsites","associationscheme","racketZCPA","volcorrCPA_T","associationboundingvolume_SRK","associationenergy","aCPA_SRK","bCPA_SRK","mCPA_SRK","aCPA_PR","bCPA_PR","mCPA_PR","associationboundingvolume_PR","calcActivity","ANTOINESolidA","ANTOINESolidB","ANTOINESolidC","Hsub","criticalViscosity","HydrateA1Small","HydrateB1Small","HydrateA1Large","HydrateB1Large","HydrateA2Small","HydrateB2Small","HydrateA2Large","HydrateB2Large","HydrateFormer","mSAFT","sigmaSAFT","epsikSAFT","associationboundingvolume_PCSAFT","associationenergy_PCSAFT","LJDIAMETERHYDRATE","LJEPSHYDRATE","SphericalCoreRadiusHYDRATE","DeshMatIonicDiameter","waxformer","B2_largeGF","A1_smallGF","B1_smallGF","A1_largeGF","B1_largeGF","A2_smallGF","B2_smallGF","A2_largeGF","CPsolid1","CPsolid2","CPsolid3","CPsolid4","CPsolid5","CPliquid1","CPliquid2","CPliquid3","CPliquid4","CPliquid5","MCPR1","MCPR2","MCPR3","PARACHOR_CPA"
45,"nC12","112-40-3","HC",45,"C12H26",170.30,0.75,384.85,18.20,0.57,216.35,170.30,713.00,"Classic",107318.20,143.24,-0.06,2.65399508e-03,-3.51865108e-06,1.41520908e-09,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,511.00,36820.00,1000.00,6.11e-03,263.57,263.57,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.20,-0.32,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,624030.00,21.62,1.19,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",5.30,3.89,249.21,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,-0.32,1.07,511.00
46,"nC13","629-50-5","HC",46,"C13H28",184.40,0.75,401.85,16.80,0.61,235.45,184.40,780.00,"Classic",117127.50,154.19,-0.06,2.87697656e-03,-3.82261092e-06,1.53883826e-09,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,554.30,28501.00,1000.00,6.11e-03,267.79,267.79,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.29,-0.53,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,766180.00,25.05,1.29,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",5.68,3.91,249.78,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,-0.53,1.48,554.30
47,"nC14","629-59-4","HC",47,"C14H30",198.40,0.76,419.85,15.70,0.64,253.55,198.40,830.00,"Classic",126867.20,152.76,0.05,2.68600398e-03,-3.54700182e-06,1.3792926e-09,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,594.60,45070.00,1000.00,6.11e-03,279.02,279.02,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.29,0.02,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",5.90,3.93,254.21,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.02,0.10,594.60
48,"nC15","629-62-9","HC",48,"C15H32",212.40,0.76,434.85,14.80,0.68,270.65,212.40,880.00,"Classic",136606.90,176.09,-0.07,3.32302266e-03,-4.4305306e-06,1.78601348e-09,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,556.30,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.41,-0.63,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",6.28,3.95,254.14,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,-0.63,1.60,556.30
49,"nC16","544-76-3","HC",49,"C16H34",226.40,0.77,443.85,14.19,0.74,286.85,226.40,920.00,"Classic",146346.60,330.45,-1.71,9.54563596e-03,-1.293226072e-05,5.61477676e-09,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,675.20,47545.00,1000.00,6.11e-03,291.30,291.30,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.43,-0.45,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",6.64,3.95,254.70,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,675.20
50,"nC17","629-78-7","HC",50,"C17H36",240.47,0.77,462.35,13.63,0.65,302.05,240.50,1000.00,"Classic",156155.90,197.98,-0.07,3.76898562e-03,-5.03836714e-06,2.0331887e-09,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,715.50,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.46,-0.45,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",6.98,3.96,255.65,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.46,-0.45,1.65,715.50
51,"nC18","593-45-3","HC",51,"C18H38",254.50,0.78,473.85,12.70,0.81,316.35,254.50,1030.00,"Classic",165895.60,208.93,-0.07,3.9919671e-03,-5.34224384e-06,2.15681788e-09,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,755.80,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.54,-0.70,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",7.32,3.96,256.20,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.54,-0.70,1.69,755.80
52,"nC19","629-92-5","HC",52,"C19H40",268.00,0.78,486.95,12.47,0.70,329.95,268.50,1085.00,"Classic",175635.30,219.88,-0.08,4.21494858e-03,-5.64620368e-06,2.28036392e-09,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,796.10,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.46,-0.05,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",7.71,3.97,256.00,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.46,-0.05,1.40,796.10
53,"nC20","112-95-8","HC",53,"C20H42",282.60,0.78,493.85,11.15,0.90,343.85,282.60,1140.00,"Classic",185444.60,230.82,-0.08,4.43793006e-03,-5.95008038e-06,2.40390996e-09,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,836.40,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.78,-1.48,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",7.98,3.98,257.75,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,836.40
54,"nC21","629-94-7","HC",54,"C21H44",296.58,0.79,506.45,10.74,0.86,357.55,296.58,1195.00,"Classic",195171.80,230.82,-0.08,4.43793006e-03,95.00,0.04,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,876.70,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.82,-1.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",0.00,0.00,0.00,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,876.70
55,"nC22","629-97-0","HC",55,"C22H46",310.00,0.79,519.05,11.16,0.77,369.55,310.60,1250.00,"Classic",204930.30,230.82,-0.08,4.43793006e-03,95.00,0.04,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,917.00,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.88,-1.07,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",0.00,0.00,0.00,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,917.00
56,"nC23","638-67-5","HC",56,"C23H48",324.63,0.79,528.75,10.82,0.79,381.05,324.63,1305.00,"Classic",214688.80,230.82,-0.08,4.43793006e-03,95.00,0.04,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,957.30,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,1.96,-1.19,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",0.00,0.00,0.00,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,957.30
57,"nC24","646-31-1","HC",57,"C24H50",338.66,0.79,533.15,9.32,0.95,391.95,338.66,1360.00,"Classic",224446.60,230.82,-0.08,4.43793006e-03,95.00,0.04,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,997.60,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,2.04,-1.30,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",0.00,0.00,0.00,0.00,0.00,2.52,809.10,0.00,1.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,997.60
58,"22-dim-C3","463-82-1","HC",58,"C5H12",72.15,0.65,160.63,31.99,0.19,49.75,72.15,303.00,"Classic",39036.60,-95.01,1.29,-2.77546262e-03,3.33615878e-06,-1.48039084e-09,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,225.90,10810.00,1000.00,6.11e-03,256.76,256.76,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,33200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",2.35,3.95,225.69,0.00,0.00,2.52,809.10,0.00,1.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,-0.17,0.81,225.90
59,"22-dim-C4","75-83-2","HC",59,"C6H14",86.17,0.65,215.63,30.80,0.23,49.75,86.17,359.00,"Classic",48795.10,25.00,0.32,4.0331214e-04,-6.8532302e-07,2.7993238e-10,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,265.90,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",2.60,4.00,243.51,0.00,0.00,2.52,809.10,0.00,1.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.11,-0.06,265.90
60,"23-dim-C4","79-29-8","HC",60,"C6H14",86.17,0.66,226.83,31.26,0.24,58.05,86.17,358.00,"Classic",48795.10,-18.40,0.61,-3.0736858e-04,2.269722e-08,2.560712e-11,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,266.60,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",2.68,3.95,246.07,0.00,0.00,2.52,809.10,0.00,1.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.01,0.18,266.60
61,"2-m-C5","107-83-5","HC",61,"C6H14",86.17,0.65,224.35,30.10,0.27,60.25,86.17,367.00,"Classic",48795.10,17.42,0.38,2.5972936e-04,-5.6776306e-07,2.4127228e-10,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,268.80,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",2.93,3.85,235.58,0.00,0.00,2.52,809.10,0.00,1.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.07,0.05,268.80
62,"3-m-C5","96-14-0","HC",62,"C6H14",86.17,0.66,231.28,31.24,0.27,63.25,86.17,367.00,"Classic",48795.10,3.59,0.09,6.06922e-05,-1.3402168e-07,5.73666e-11,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,267.40,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",2.88,3.86,240.48,0.00,0.00,2.52,809.10,0.00,1.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,-0.42,1.21,267.40
63,"c-C5","287-92-3","HC",63,"C5H8",70.13,0.66,238.61,45.02,0.19,49.25,70.13,260.00,"Classic",37634.10,41.72,-0.16,1.48961938e-03,-1.80380544e-06,6.829951e-10,"log",-7.76,1.45,-2.77,-1.23,0.00,1.80,0.07,0.00,0.00,2.52,809.10,0.00,3,-24.71,4210.00,0.04,-3.38e-05,-229000.00,-19.29,29814.50,-0.01,1.32e-04,-3.11e-07,0,"solvent                                           ",0.00,0.00,0.00,0.00,0.07,-1.16,0.00,-0.38,5.25e-03,-6.37e-06,203.00,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,5479.00,"no",2.36,3.71,265.83,0.00,0.00,2.52,809.10,0.00,1.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.02,0.19,203.00
