ID,NAME,CASnumber,COMPTYPE,COMPINDEX,FORMULA,MOLARMASS,LIQDENS,TC,PC,ACSFACT,NORMBOIL,MWAVG,CRITVOL,PVMODEL,Href,CPA,CPB,CPC,CPD,CPE,AntoineVapPresLiqType,ANTOINEA,ANTOINEB,ANTOINEC,ANTOINED,ANTOINEE,DIPOLEMOMENT,VISCFACT,RACKETZ,volcorrSRK_T,LJDIAMETER,LJEPS,SphericalCoreRadius,LIQVISCMODEL,LIQVISC1,LIQVISC2,LIQVISC3,LIQVISC4,GIBBSENERGYOFFORMATION,DIELECTRICPARAMETER1,DIELECTRICPARAMETER2,DIELECTRICPARAMETER3,DIELECTRICPARAMETER4,DIELECTRICPARAMETER5,IONICCHARGE,REFERENCESTATETYPE,HenryCoef1,HenryCoef2,HenryCoef3,HenryCoef4,SCHWARTZENTRUBER1,SCHWARTZENTRUBER2,SCHWARTZENTRUBER3,LIQUIDCONDUCTIVITY1,LIQUIDCONDUCTIVITY2,LIQUIDCONDUCTIVITY3,PARACHOR,HEATOFFUSION,TRIPLEPOINTDENSITY,TRIPLEPOINTPRESSURE,TRIPLEPOINTTEMPERATURE,MELTINGPOINTTEMPERATURE,ENTHALPYOFFORMATION,ABSOLUTEENTROPY,SOLIDDENSITYCOEFS1,SOLIDDENSITYCOEFS2,SOLIDDENSITYCOEFS3,SOLIDDENSITYCOEFS4,SOLIDDENSITYCOEFS5,LIQUIDDENSITYCOEFS1,LIQUIDDENSITYCOEFS2,LIQUIDDENSITYCOEFS3,LIQUIDDENSITYCOEFS4,LIQUIDDENSITYCOEFS5,HEATOFVAPORIZATIONCOEFS1,HEATOFVAPORIZATIONCOEFS2,HEATOFVAPORIZATIONCOEFS3,HEATOFVAPORIZATIONCOEFS4,HEATOFVAPORIZATIONCOEFS5,STDDENS,MC1,MC2,MC3,MC1Solid,MC2Solid,MC3Solid,TwuCoon1,TwuCoon2,TwuCoon3,associationsites,associationscheme,racketZCPA,volcorrCPA_T,associationboundingvolume_SRK,associationenergy,aCPA_SRK,bCPA_SRK,mCPA_SRK,aCPA_PR,bCPA_PR,mCPA_PR,associationboundingvolume_PR,calcActivity,ANTOINESolidA,ANTOINESolidB,ANTOINESolidC,Hsub,criticalViscosity,HydrateA1Small,HydrateB1Small,HydrateA1Large,HydrateB1Large,HydrateA2Small,HydrateB2Small,HydrateA2Large,HydrateB2Large,HydrateFormer,mSAFT,sigmaSAFT,epsikSAFT,associationboundingvolume_PCSAFT,associationenergy_PCSAFT,LJDIAMETERHYDRATE,LJEPSHYDRATE,SphericalCoreRadiusHYDRATE,DeshMatIonicDiameter,waxformer,B2_largeGF,A1_smallGF,B1_smallGF,A1_largeGF,B1_largeGF,A2_smallGF,B2_smallGF,A2_largeGF,CPsolid1,CPsolid2,CPsolid3,CPsolid4,CPsolid5,CPliquid1,CPliquid2,CPliquid3,CPliquid4,CPliquid5,MCPR1,MCPR2,MCPR3,PARACHOR_CPA,lambdaRSAFTVRMie,lambdaASAFTVRMie,mSAFTVRMie,sigmaSAFTVRMie,epsikSAFTVRMie,associationenergy_SAFTVRMie,associationvolume_SAFTVRMie,UMRCPA_MC1,UMRCPA_MC2,UMRCPA_MC3,UMRCPA_MC4,UMRCPA_MC5,UMRCPA_a0,UMRCPA_b,UMRCPA_assocEnergy,UMRCPA_assocVolume,UMRCPA_assocScheme,UMRCPA_associating,UMRCPA_racketZ,UMRCPA_volcorr_T,InChIKey
103,neon,7440-01-9,inert,104,Ne,20.18,0.65,-228.75,26.652,-0.376,-248.7,18.05,25.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,log,29.755,-271.06,-2.6081,0.000527,2.0,1.8,0.076,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,solute,0.0,0.0,0.0,0.0,0.004662711,-207.8880732,167.1564974,0.0,0.0,0.0,207.0,6000.0,1000.0,0.438,24.56,24.45,-242000.0,189.0,74.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484453999,-0.508813922,0.722394513,0.0,0.0,0.0,0.088380472,0.940022294,3.401190177,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75641,1,1.0,-1.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,1.0,2.8019,37.3,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,GKAOGPIIYCISHV-UHFFFAOYSA-N
104,acetone,67-64-1,other,105,Acetone,58.08,0.9,234.95,48.0,0.559,64.55,32.042,99.0,Classic,0.0,42.617564,0.012562454,0.000476475,-5.96e-07,2.2680592e-10,pow10,4.42448,1312.253,240.705,0.0,0.0,1.7,0.215,0.0,0.0,3.626,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,57900.0,-19.2905,29814.5,-0.019678,0.013189,0.031144,0,solvent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-242000.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,1.4371,-0.79942,0.3278,0.0,0.0,0.0,0.0,0.0,0.0,2,2B,0.0,0.0,0.0154,24476.0,40220.0,3.12,0.4623,47052.0,3.3,0.9037,0.0449,1,17.38710706,-7582.40622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,2.7447,3.2742,232.99,0.0,0.0,3.626,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,CSCPPACGZOOCGX-UHFFFAOYSA-N
105,HS-,15035-72-0,ion,106,HS-,33.08,1.1,100.05,89.37,0.1,-59.65,34.08,98.5,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,195.2,0.0,2,-7.811,3140.0,0.0,0.0,12080.0,2.0,0.0,0.0,0.0,0.0,-1,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.232,187.66,187.66,-17600.0,62.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.1,0.8252,0.2515,-1.7039,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.001160489,5000.0,34369.093554,2.706357876,0.804782959,0.0,0.0,0.0,0.0,1,4.43681,-829.439,-25.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,3.6,195.2,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,RWSOTUBLDIXVET-UHFFFAOYSA-M
106,S--,18496-25-8,ion,107,S--,32.08,1.1,100.05,89.37,0.1,-59.65,34.08,98.5,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,195.2,0.0,2,-7.811,3140.0,0.0,0.0,85800.0,2.0,0.0,0.0,0.0,0.0,-2,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.232,187.66,187.66,33100.0,-14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.1,0.8252,0.2515,-1.7039,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.43681,-829.439,-25.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,3.5,195.2,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,UCKMPCXJQFINFW-UHFFFAOYSA-N
107,ethanol,64-17-5,alcohol,108,C2H6O,46.06922,0.797,240.77,61.4,0.644,64.55,32.042,99.0,Classic,20891.5,36.548344,0.005221192,0.000461094,-5.83e-07,2.232309e-10,pow10,5.33675,1648.22,230.918,0.0,0.0,1.7,0.215,0.0,0.0,3.626,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-168490.0,-29.23,16034.49,0.0,0.0,0.0,0,solvent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-0.00029,1.5e-07,0.0,6000.0,1000.0,0.00611,273.0,273.0,-235100.0,281.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,1.4371,-0.79942,0.3278,0.0,0.0,0.0,0.0,0.0,0.0,2,2B,0.0,0.0,0.008,21532.01,86716.09,4.908,0.7369,47052.0,3.3,0.9037,0.0449,1,17.38710706,-7582.40622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,2.3827,3.1771,198.24,0.03238,22060.3676,3.626,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0,0,0,0,0,-0.49999,2.02553,2.99972,0.0,0.0,3.48727,0.03795,309.3576,0.01369,2B,1,0.0,0.0,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
108,DEA,0-0-0-0,amine,109,DEA,119.1632,1.038,240.75,61.4,0.644,140.0,119.16,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,4.5,481.8,0.0,3,-75.19,12680.0,0.1573,-0.0001225,57900.0,-5.95,9276.38,-6.21e-06,0.0,0.0,0,solvent,0.0,0.0,0.0,0.0,0.07598,-1.3555,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-242000.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.054120713,12000.0,258457.0977,10.75100889,1.364219207,376276.884,10.78358585,1.258298307,0.0,1,17.38710706,1.76274587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,3.8656,3.2073,275.43,0.01,18230.0,4.5,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,DFWFIQKMSFGDCQ-UHFFFAOYSA-N
109,DEA+,0-0-0-0,ion,110,CH4O,120.1632,1.038,403.85,38.76,1.242,64.55,119.16,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,4.4,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,0.0,0.0,0.0,0.0,0.0,0.0,1,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-242000.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,4.4,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
110,DEACOO-,0-0-0-0,ion,111,PiperazineCarbamate,121.0,1.038,364.85,68.7,0.8,140.0,119.16,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,6.0,481.8,0.0,3,-75.19,12680.0,0.1573,-0.0001225,57900.0,8.16976,8989.3,0.0,0.0,0.0,-1,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-242000.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.054120713,12000.0,258457.0977,10.75100889,1.364219207,376276.884,10.78358585,1.258298307,0.0,1,17.38710706,1.76274587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,6.0,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
111,Piperazine++,0-0-0-0,ion,112,Piperazine++,88.137,1.038,364.85,68.7,0.8,140.0,119.16,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,3.0,481.8,0.0,3,-75.19,12680.0,0.1573,-0.0001225,57900.0,8.16976,8989.3,0.0,0.0,0.0,2,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-242000.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.054120713,12000.0,258457.0977,10.75100889,1.364219207,376276.884,10.78358585,1.258298307,0.0,1,17.38710706,1.76274587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,3.0,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
112,CaCO3,0-0-0-0,ion,113,CaCO3,124.0,0.797,400.0,220.0,0.3,64.55,32.042,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,6.2,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-587000.0,2.0,0.0,0.0,0.0,0.0,0,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-242000.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,6.2,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,VTYYLEPIZMXCLO-UHFFFAOYSA-L
113,water,7732-18-5,water,114,H2O,18.015,0.999,374.15,220.89,0.344,100.0,18.015,56.0,Classic,1374.6,36.54003,-0.034802404,0.000116811,-1.3e-07,5.254448e-11,pow10,5.11564,1687.537,230.17,0.0,0.0,1.8,0.076,0.235662374,0.0,2.52,809.1,0.0,3,-27.952757828,4665.22592993,0.052323342,-3.8356e-05,-228572.0,-19.2905,29814.5,-0.019678,0.000132,-3.11e-07,0,solvent,0.0,0.0,0.0,0.0,0.054783425,0.094678512,-2.267329403,-0.384,0.00525,-6.37e-06,52.8786226,6010.0,1000.0,0.00611,273.16,273.15,-241818.0,188.8,0.0,0.0,0.0,0.0,0.0,5.459,0.30542,647.13,0.081,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.999,1.087,-0.638,0.635,0.0,0.0,0.0,0.168272437,0.908482584,5.240427372,4,4C,0.296941807,0.000718744,0.0692,16655.0,12277.0,1.4515,0.67359,13855.59696,1.456360879,0.664155324,0.046473789,1,17.38710706,-6141.762746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,1.0656,3.0007,366.51,0.034868,20790.8198,2.52,809.1,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-262.49,140.52,0.0,0.0,0.0,276370.0,-2090.1,8.125,-0.014116,9.37e-06,0.923656,-0.37937,0.442429,52.419867266,17.02,6,1,3.0063,266.68,16506.6756,1.0169e-28,1.895,-0.9913,1.2103,0.0,0.0,1.0307,0.0147,141.77,0.125,4C,1,0.262676,0.0,XLYOFNOQVPJJNP-UHFFFAOYSA-N
114,F-,16984-48-8,ion,115,F-,19.0,1.0,444.15,290.89,0.344,64.55,19.0,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.0,0.0,2.72,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-278790.0,0.0,0.0,0.0,0.0,0.0,-1,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-332630.0,-13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,2.72,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,KRHYYFGTRYWZRS-UHFFFAOYSA-M
115,Fe++,15438-31-0,ion,116,Fe++,55.85,0.797,444.15,290.89,0.344,55.85,40.08,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.0,0.0,6.0,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-78870.0,0.0,0.0,0.0,0.0,0.0,2,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-89100.0,-137.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,6.0,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,CWYNVVGOOAEACU-UHFFFAOYSA-N
116,Pb++,14280-50-3,ion,118,Pb++,207.2,0.797,444.15,290.89,0.344,64.55,207.2,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.0,0.0,5.66,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-24430.0,0.0,0.0,0.0,0.0,0.0,2,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-1700.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,1.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,5.66,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,RVPVRDXYQKGNMQ-UHFFFAOYSA-N
117,NO3-,14797-55-8,ion,119,NO3-,62.0,0.797,444.15,290.89,0.344,62.0,126.9,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.0,0.0,3.12,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-111250.0,0.0,0.0,0.0,0.0,0.0,-1,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-207360.0,146.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,3.12,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,NHNBFGGVMKEFGY-UHFFFAOYSA-N
118,ClO4-,14797-73-0,ion,120,ClO4-,99.45,0.797,444.15,290.89,0.344,62.0,99.45,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.0,0.0,3.64,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-8520.0,0.0,0.0,0.0,0.0,0.0,-1,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-129330.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,3.64,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,VLTRZXGMWDSKGL-UHFFFAOYSA-M
119,SO4--,14808-79-8,ion,121,SO4--,96.07,0.797,444.15,290.89,0.344,62.0,96.07,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.0,0.0,3.41,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-744530.0,0.0,0.0,0.0,0.0,0.0,-2,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-909270.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,3.41,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,QAOWNCQODCNURD-UHFFFAOYSA-L
